development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
valp-E6,Shop and business frontages,,local-authority-eng:BUC,development-management;retail,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-E6
valp-E7,Tourism development,,local-authority-eng:BUC,development-management;tourism,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-E7
valp-E8,Tourist accommodation,,local-authority-eng:BUC,development-management;tourism,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-E8
valp-E9,Agricultural development,,local-authority-eng:BUC,development-management,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-E9
valp-H1,Affordable housing,,local-authority-eng:BUC,affordable-housing,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H1
valp-H2,Rural exception sites,,local-authority-eng:BUC,affordable-housing,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H2
valp-H3,Rural workers dwellings,,local-authority-eng:BUC,specialised-housing,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H3
valp-H4,Replacement dwellings in the countryside,,local-authority-eng:BUC,housing;area/location-specific-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H4
valp-H5,Self/custom build housing,,local-authority-eng:BUC,specialised-housing,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H5
valp-H6,Housing mix,,local-authority-eng:BUC,housing-mix,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H6
valp-H7,Dwelling sizes,,local-authority-eng:BUC,development-management,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-H7
valp-I1,Green infrastructure,,local-authority-eng:BUC,biodiversity;nature;ecology,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-I1
valp-I2,Sports and recreation,,local-authority-eng:BUC,community-facilities;leisure,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-I2
valp-I3,Community facilities and assets of community value,,local-authority-eng:BUC,community-facilities,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-I3
valp-I4,Flooding,,local-authority-eng:BUC,flooding,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-I4
valp-I5,Water resources,,local-authority-eng:BUC,water,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-I5
valp-I6,Telecommunications,,local-authority-eng:BUC,broadband;infrastructure;communications,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-I6
valp-NE1,Protected sites,,local-authority-eng:BUC,designation,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE1
valp-NE2,Biodiversity and geodiversity,,local-authority-eng:BUC,biodiversity,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE2
valp-NE3,River and stream corridors,,local-authority-eng:BUC,water,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE3
valp-NE4,The Chilterns AONB and setting,,local-authority-eng:BUC,designation;nature,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE4
valp-NE5,Landscape character and locally important landscape,,local-authority-eng:BUC,nature,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE5
valp-NE6,"Pollution, air quality and contaminated land",,local-authority-eng:BUC,air-quality;contamination,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE6
valp-NE7,Local green space,,local-authority-eng:BUC,community-facilities;designation,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE7
valp-NE8,Best and most versatile agricultural land,,local-authority-eng:BUC,,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE8
valp-NE9,"Trees, hedgerows and woodlands",,local-authority-eng:BUC,trees,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-NE9
valp-S1,Sustainable development for Aylesbury Vale,,local-authority-eng:BUC,development-management,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S1
valp-S2,Spatial strategy for growth,,local-authority-eng:BUC,strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S2
valp-S3,Settlement hierarchy and cohesive development,,local-authority-eng:BUC,strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S3
valp-S4,Green Belt,,local-authority-eng:BUC,green-belt;strategic-policy,GIS - Green Belt,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S4
valp-S5,Infrastructure,,local-authority-eng:BUC,infrastructure;strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S5
valp-S6,"Gypsy, Traveller and Travelling Showpeople provision",,local-authority-eng:BUC,gypsy-and-travellers;strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S6
valp-S7,Previously developed land,,local-authority-eng:BUC,strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S7
valp-S8,Neighbourhood plans,,local-authority-eng:BUC,strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S8
valp-S9,Monitoring and review,,local-authority-eng:BUC,monitoring;strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-S9
valp-T1,Delivering the sustainable transport vision,,local-authority-eng:BUC,transport;strategic-policy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T1
valp-T2,Protected Transport Schemes,,local-authority-eng:BUC,transport,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T2
valp-T3,Supporting transport schemes,,local-authority-eng:BUC,transport,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T3
valp-T4,Delivering transport in new development,,local-authority-eng:BUC,transport,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T4
valp-T5,Vehicle Parking,,local-authority-eng:BUC,car-parks;parking,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T5
valp-T6,Footpaths and cycle routes,,local-authority-eng:BUC,cycling,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T6
valp-T7,Electric vehicle infrastructure,,local-authority-eng:BUC,infrastructure,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-T7
waddesdonndp-WAD1,Waddesdon Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD1
waddesdonndp-WAD10,Views into and out of the Conservation Area,,local-authority-eng:BUC,conservation-area;views,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD10
waddesdonndp-WAD11,Buildings of Local Note,,local-authority-eng:BUC,,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD11
waddesdonndp-WAD12,Transport & Car Parking,,local-authority-eng:BUC,car-parks;parking;transport,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD12
waddesdonndp-WAD13,Green Infrastructure & Biodiversity,,local-authority-eng:BUC,biodiversity,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD13
waddesdonndp-WAD14,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD14
waddesdonndp-WAD2,Housing Site Allocation,,local-authority-eng:BUC,allocated-sites;housing,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD2
waddesdonndp-WAD3,Affordable Housing,,local-authority-eng:BUC,affordable-housing,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD3
waddesdonndp-WAD4,"Waddesdon Manor, Waddesdon Estate and the National Trust",,local-authority-eng:BUC,area/location-specific-policy,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD4
waddesdonndp-WAD5,Commercial Buildings,,local-authority-eng:BUC,economy;employment,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD5
waddesdonndp-WAD6,Employment Land,,local-authority-eng:BUC,employment,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD6
waddesdonndp-WAD7,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD7
waddesdonndp-WAD8,Design in the Conservation Area,,local-authority-eng:BUC,conservation-area;design,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD8
waddesdonndp-WAD9,Design in the Setting of the Conservation Area,,local-authority-eng:BUC,conservation-area;design,E04001544,,2020-12-21,2017-10-23,,/development-policy/local-authority-eng/BUC/waddesdonndp-WAD9
wdlp-BE1,Slate Meadow,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPBE1,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-BE1
wdlp-BE2,Hollands Farm,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPBE2,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-BE2
wdlp-BE3,Health Facilities in Bourne End and Wooburn,,local-authority-eng:BUC,area/location-specific-policy;health,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-BE3
wdlp-CP1,Sustainable Development,,local-authority-eng:BUC,strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP1
wdlp-CP10,Green Infrastructure and the Natural Environment,,local-authority-eng:BUC,nature;strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP10
wdlp-CP11,Historic Environment,,local-authority-eng:BUC,heritage;strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP11
wdlp-CP12,Climate Change,,local-authority-eng:BUC,climate-change;strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP12
wdlp-CP2,Overall Spatial Strategy,,local-authority-eng:BUC,strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP2
wdlp-CP3,Settlement Strategy,,local-authority-eng:BUC,strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP3
wdlp-CP4,Delivering Homes,,local-authority-eng:BUC,housing;strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP4
wdlp-CP5,Delivering Land for Business,,local-authority-eng:BUC,economy;strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP5
wdlp-CP6,Securing Vibrant and High Quality Town Centres,,local-authority-eng:BUC,strategic-policy;retail;town-centres,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP6
wdlp-CP7,Delivering the Infrastructure to Support Growth,,local-authority-eng:BUC,infrastructure;strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP7
wdlp-CP8,Protecting the Green Belt,,local-authority-eng:BUC,green-belt;strategic-policy,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP8
wdlp-CP9,Sense of Place,,local-authority-eng:BUC,strategic-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-CP9
wdlp-DM20,Matters to be determined in accordance with the national planning policy framework,,local-authority-eng:BUC,contamination;advertising;air-quality;noise;lighting;listed-building;conservation-area,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM20
wdlp-DM21,The location of new housing,,local-authority-eng:BUC,allocated-sites;housing,/development-policy-area/local-authority-eng/BUC/LPDM21,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM21
wdlp-DM22,Housing mix,,local-authority-eng:BUC,housing-mix,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM22
wdlp-DM23,Other residential uses,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM23
wdlp-DM24,Affordable housing,,local-authority-eng:BUC,affordable-housing;,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM24
wdlp-DM25,Rural exceptions Affordable Housing,,local-authority-eng:BUC,affordable-housing,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM25
wdlp-DM26,Criteria for Traveller Sites,,local-authority-eng:BUC,gypsy-and-travellers,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM26
wdlp-DM27,Housing for Rural Workers,,local-authority-eng:BUC,specialised-housing,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM27
wdlp-DM28,Employment Areas,,local-authority-eng:BUC,employment,"GIS - 19StrategicEmploymentArea, 19LocalEmploymentArea",,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM28
wdlp-DM29,Community facilities,,local-authority-eng:BUC,community-facilities,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM29
wdlp-DM30,The Chilterns Area of Outstanding Natural Beauty,,local-authority-eng:BUC,designation;nature,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Area%20of%20outstanding%20natural%20beauty&distance=0.0000001,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM30
wdlp-DM31,Development affecting the Historic Environment,,local-authority-eng:BUC,development-management;conservation-area;heritage;listed-buildings,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM31
wdlp-DM32,Landscape Character and Settlement Patterns,,local-authority-eng:BUC,nature,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM32
wdlp-DM33,Managing Carbon Emissions: Transport and Energy Generation,,local-authority-eng:BUC,climate-change;energy;transport,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM33
wdlp-DM34,Delivering Green Infrastructure and Biodiversity in Development,,local-authority-eng:BUC,biodiversity;development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM34
wdlp-DM35,Placemaking and design quality,,local-authority-eng:BUC,design;development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM35
wdlp-DM36,Extensions and alterations to existing dwellings,,local-authority-eng:BUC,residential-alterations;existing-housing,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM36
wdlp-DM37,Small scale non-residential development,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM37
wdlp-DM38,Water quality and supply,,local-authority-eng:BUC,water,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM38
wdlp-DM39,Managing flood risk and sustainable drainage systems,,local-authority-eng:BUC,flooding,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM39
wdlp-DM40,Internal space standards,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM40
wdlp-DM41,Optional Technical Standards for Building Regulations Approval,,local-authority-eng:BUC,accessibility;development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM41
wdlp-DM42,Managing development in the Green Belt,,local-authority-eng:BUC,green-belt,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM42
wdlp-DM43,The replacement or extension of dwellings in the Green Belt (including outbuildings),,local-authority-eng:BUC,green-belt;housing;existing-housing;residential-alterations,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM43
wdlp-DM44,Development in the Countryside Outside of the Green Belt,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM44
wdlp-DM45,Conversion of existing buildings in the Green Belt and other rural areas,,local-authority-eng:BUC,green-belt,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM45
wdlp-DM46,HS2 Safeguarded land,,local-authority-eng:BUC,area/location-specific-policy,/development-policy-area/local-authority-eng/BUC/LPDM46,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM46
wdlp-DM47,Princes Risborough to Aylesbury (PRA) Safeguarded land,,local-authority-eng:BUC,area/location-specific-policy,/development-policy-area/local-authority-eng/BUC/LPDM47,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-DM47
wdlp-HW10,"Horns Lane, Booker, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW10,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW10
wdlp-HW11,"Clay Lane, Booker, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW11,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW11
wdlp-HW12,"Leigh Street, Desborough area, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW12,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW12
wdlp-HW13,"Former Bassetsbury Allotments, Bassetsbury Lane",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW13,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW13
wdlp-HW14,"Highbury Works / Hazlemere Coachworks, Chestnut Lane, Hazlemere",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW14,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW14
wdlp-HW15,Wycombe Air Park,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,"GIS - 19StrategicEmploymentArea, 19LocalEmploymentArea",,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW15
wdlp-HW16,"Land Adjoning High Heavens Recycling Centre, off Clay Lane",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW16,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW16
wdlp-HW17,Cressex Business Park,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW17,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW17
wdlp-HW18,"Office Outlet site, Queen Alexandra Road, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW18,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW18
wdlp-HW19,High Wycombe Town Centre - former Local Development Order area,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW19,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW19
wdlp-HW20,"Land at Queensway, Hazlemere",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,GIS - QueenswayCemetery,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW20
wdlp-HW4,Abbey Barn North,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW4,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW4
wdlp-HW5,"Abbey Barn South and Wycombe Summit, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW5,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW5
wdlp-HW6,"Gomm Valley and Ashwells, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW6,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW6
wdlp-HW7,Terriers Farm and Terriers House,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW7,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW7
wdlp-HW8,"Land off Amersham Road including Tralee Farm, Hazlemere",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW8,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW8
wdlp-HW9,"Part of Greens Farm, Glynswood, Green Hill, High Wycombe",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPHW9,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-HW9
wdlp-MR6,"Seymour Court Road, Marlow",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPMR6,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-MR6
wdlp-MR7,"Globe Park, Marlow",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPMR7,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-MR7
wdlp-PR10,Land North of Lower Icknield Way,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR10,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR10
wdlp-PR11,Land to the Rear of Poppy Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR11,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR11
wdlp-PR12,Town centre Traffic and public realm enhancements,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR12
wdlp-PR13,Town Centre site: Land fronting New Road (Back Lane),,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR13,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR13
wdlp-PR14,Town Centre site: Land south of Horns Lane,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR14,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR14
wdlp-PR15,Molins Sports Ground,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR15,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR15
wdlp-PR16,Land at Princes Risborough Station,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR16,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR16
wdlp-PR17,Princes Risborough Delivery of Infrastructure,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;infrastructure,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR17
wdlp-PR3,Princes Risborough Area of Comprehensive Development including Relief Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR3,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR3
wdlp-PR4,The Main Expansion Area Development Framework,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR4
wdlp-PR5,Settlement Boundary and Strategic Buffer,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR5,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR5
wdlp-PR6,Main expansion area and development principles,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR6
wdlp-PR7,Development requirements,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR7
wdlp-PR8,Provision and Safeguarding of Transport Infrastructure,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;infrastructure;transport,/development-policy-area/local-authority-eng/BUC/LPPR8,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR8
wdlp-PR9,Princes Estate Expansion,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPPR9,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-PR9
wdlp-RUR1,"Land South of Finings Road, Lane End",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR1,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR1
wdlp-RUR10,Land to the rear of Stokenchurch Business Park,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR10,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR10
wdlp-RUR11,"Land at Heavens Above, 16 High Heavens, Marlow Bottom",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR11,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR11
wdlp-RUR12,"Uplands Conference Centre, Four Ashes",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR12,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR12
wdlp-RUR2,"Land between Chalky Field and Marlow Road, Lane End",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR2,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR2
