development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
avdlp-GP59,Preservation of archaeological remains,,local-authority-eng:BUC,archaeology,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP59
avdlp-GP6,Conversion or subdivision of existing dwellings,,local-authority-eng:BUC,residential-alterations;existing-housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP6
avdlp-GP60,Development and Parks or Gardens of Special Historic Interest,,local-authority-eng:BUC,heritage;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP60
avdlp-GP66,Access corridors and buffers adjacent to watercourses,,local-authority-eng:BUC,water,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP66
avdlp-GP69,Hotel and motel development,,local-authority-eng:BUC,tourism;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP69
avdlp-GP70,Changes of use of rural buildings and historic buildings to hotel use,,local-authority-eng:BUC,heritage;tourism;listed-buildings,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP70
avdlp-GP71,Bed and breakfast and guesthouse development,,local-authority-eng:BUC,tourism;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP71
avdlp-GP72,Proposals for self-catering holiday accommodation and holiday homes,,local-authority-eng:BUC,tourism,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP72
avdlp-GP73,Proposals for camping and touring caravan sites,,local-authority-eng:BUC,tourism,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP73
avdlp-GP77,Horse-related development,,local-authority-eng:BUC,equestrian-facilities,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP77
avdlp-GP78,"Stables, loose boxes and other buildings for horses",,local-authority-eng:BUC,equestrian-facilities,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP78
avdlp-GP79,Proposals for noisy sports,,local-authority-eng:BUC,leisure;noise,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP79
avdlp-GP8,Protection of the amenity of residents,,local-authority-eng:BUC,design,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP8
avdlp-GP80,The Wendover Arm of the Grand Union Canal,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP80
avdlp-GP81,Development of canal-related facilities,,local-authority-eng:BUC,waterways;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP81
avdlp-GP84,Public rights of way,,local-authority-eng:BUC,infrastructure,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP84
avdlp-GP86,Provision of outdoor playing space,,local-authority-eng:BUC,play-space;community-facilities;leisure,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP86
avdlp-GP87,Application of open space policies,,local-authority-eng:BUC,open-space,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP87
avdlp-GP88,Payment in lieu of providing sports and play areas,,local-authority-eng:BUC,section-106;leisure;play-space,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP88
avdlp-GP9,Extensions of dwellings,,local-authority-eng:BUC,residential-alterations,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP9
avdlp-GP90,Provision of indoor sports facilities,,local-authority-eng:BUC,leisure;community-facilities,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP90
avdlp-GP91,Provision of amenity areas,,local-authority-eng:BUC,allotments,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP91
avdlp-GP92,Safeguarding of allotment land,,local-authority-eng:BUC,allotments,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP92
avdlp-GP93,Safeguarding of community buildings and facilities,,local-authority-eng:BUC,community-facilities,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP93
avdlp-GP94,Provision of community facilities and services,,local-authority-eng:BUC,community-facilities,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP94
avdlp-GP95,Unneighbourly uses,,local-authority-eng:BUC,,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP95
avdlp-GP99,Development beneath overhead electricity lines,,local-authority-eng:BUC,infrastructure;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP99
avdlp-HA1,Employment development at Thame Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-HA1
avdlp-HA2,Primary Shopping Frontage at Banks Parade,,local-authority-eng:BUC,area/location-specific-policy;retail-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-HA2
avdlp-RA11,Conversion of buildings in the countryside,,local-authority-eng:BUC,development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA11
avdlp-RA13,Development within settlements listed in Appendix 4,,local-authority-eng:BUC,area/location-specific-policy;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA13
avdlp-RA14,Development at the edge of Appendix 4 settlements,,local-authority-eng:BUC,area/location-specific-policy;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA14
