description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,chalfontstpeterndp-H1,development-management;housing,,2020-12-21,E04001566,"On developments where there is a net gain of four or more dwellings, two bedroom dwellings must be included.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H1
,chalfontstpeterndp-H2,development-management;housing,,2020-12-21,E04001566,The development of new homes for people wishing to down-size from larger dwellings to smaller homes will be supported. This includes dwellings in both C3 (dwellings) and C2 (residential care homes) use classes.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H2
,chalfontstpeterndp-H3,development-management;energy;housing,,2020-12-21,E04001566,"For developments where the net gain is ten or more dwellings, a Sustainability Statement must be submitted with any planning application demonstrating how the proposed development accords with higher level sustainability and energy policy requirements.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H3
,chalfontstpeterndp-H4,design,,2020-12-21,E04001566,"Where planning permission is required, roof mounted solar panels and photo-voltaic panels should be designed to minimise visual impact. This applies to panels on new buildings as well as retrofi tted panels.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H4
,chalfontstpeterndp-H5,design,,2020-12-21,E04001566,Design and Access Statements must demonstrate how the proposed development fi ts in with the specifi c characteristics of the Character Area in which it is located,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H5
,chalfontstpeterndp-H6,development-management,,2020-12-21,E04001566,"Residential development that reinforces the positive characteristics of its specifi c Character Area will be permitted subject to its meeting the requirements of other relevant policies in this Neighbourhood Plan, and higher level planning policy. Development that fails to reinforce the characteristics of its specifi c Character Area will be resisted.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H6
,chalfontstpeterndp-H7,design;existing-housing;residential-alterations,,2020-12-21,E04001566,"Where planning permission is required, alterations and/or extensions to existing residential properties should maintain or enhance the design, character and quality of the building.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-H7
,chalfontstpeterndp-O1,community-facilities;leisure;open-space;schools,,2020-12-21,E04001566,"The change of use of open space identified in Figure 7.1, to any other purpose will not be permitted. In exceptional circumstances, school grounds and sports facilities may change use so long as the open space is re-provided within the Parish.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-O1
,chalfontstpeterndp-O2,community-facilities;designation,,2020-12-21,E04001566,"The spaces defined in Figures 7.2 and 7.3 as Local Green Space are designated as such and will be protected and, where possible, enhanced",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-O2
,chalfontstpeterndp-LC1,community-facilities,,2020-12-21,E04001566,Proposals to change the use of the land and buildings identifi ed in Table 8.1 and Figure 8.1 will be resisted.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-LC1
,chalfontstpeterndp-LC2,community-facilities;health,,2020-12-21,E04001566,"Retention of, improvements to, replacement and expansion of existing healthcare facilities will be supported. Loss, removal or degradation of existing healthcare facilities will be resisted unless it can be demonstrated that the replacement provision meets identifi ed healthcare needs",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-LC2
,chalfontstpeterndp-LC3,community-facilities,,2020-12-21,E04001566,The provision of new healthcare facilities within the village will be supported.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-LC3
,chalfontstpeterndp-MP1,broadband;infrastructure;communications,,2020-12-21,E04001566,"The siting of mobile phone masts should seek to minimise their visual impact, and grouping of new masts with existing is encouraged. New phone masts are preferred in the locations identifi ed in Figure 9.3.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-MP1
,chalfontstpeterndp-MP2,broadband;infrastructure;communications;design,,2020-12-21,E04001566,The sharing of existing and future masts will be encouraged where the visual impact of the proposed changes do not result in unacceptable harm to the character of the area.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-MP2
,chalfontstpeterndp-MP3,broadband;infrastructure;communications;design,,2020-12-21,E04001566,Mobile phone masts and associated equipment shall be designed to minimise visual impact.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-MP3
,chalfontstpeterndp-PWI1,employment,,2020-12-21,E04001566,Proposals that involve the creation of new employment opportunities within the rural area will be supported so long as they accord with policies in the Neighbourhood Plan and higher level policies.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-PWI1
,chalfontstpeterndp-PWI2,gypsy-and-travellers,,2020-12-21,E04001566,"If additional plots for travellers are needed, the further development of around six pitches at the existing approved site, The Orchards, will be supported.",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-PWI2
,bledlowcumsaundertonndp-P1,,,2020-12-21,GIS - 17BledcSaund,Spatial Plan for the Parish,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P1
,bledlowcumsaundertonndp-P2,development-management,,2020-12-21,E04001592,Development within Settlements,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P2
,bledlowcumsaundertonndp-P3,area/location-specific-policy,,2020-12-21,GIS - 17BledcSaund,"Molins, South Saunderton",,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P3
,bledlowcumsaundertonndp-P4,design,,2020-12-21,E04001592,Design Management in Bledlow Village and Pitch Green,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P4
,bledlowcumsaundertonndp-P5,design,,2020-12-21,E04001592,Design Management in Bledlow Ridge,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P5
,bledlowcumsaundertonndp-P6,design,,2020-12-21,E04001592,Design Management in the Parish,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P6
,bledlowcumsaundertonndp-P7,design;green-belt,,2020-12-21,E04001592,Sustainable Design in the Greenbelt,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P7
,bledlowcumsaundertonndp-P8,,,2020-12-21,E04001592,Rural Diversification,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P8
,bledlowcumsaundertonndp-P9,employment,,2020-12-21,E04001592,Employment,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P9
,bledlowcumsaundertonndp-P10,employment,,2020-12-21,E04001592,Environment,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P10
,bledlowcumsaundertonndp-P11,community-facilities,,2020-12-21,E04001592,Community Facilities,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P11
,bledlowcumsaundertonndp-P12,area/location-specific-policy;community-facilities;education;schools,,2020-12-21,GIS - 17BledcSaund,Bledlow Ridge School,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P12
,bledlowcumsaundertonndp-P13,cycling;walking;infrastructure;transport,,2020-12-21,E04001592,Connecting the Parish,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P13
,bledlowcumsaundertonndp-P14,climate-change;energy,,2020-12-21,E04001592,Renewable and Low Carbon Energy,,development-policy:Bledlow-cum-Saunderton Parish Council,2017-01-01,development-policy/development-policy/Bledlow-cum-Saunderton Parish Council/bledlowcumsaundertonndp-P14
,longwickcumilmerndp-A1,development-management,,2020-12-21,GIS - 17LongwickcIlmer,Development at Longwick Village,,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-A1
,longwickcumilmerndp-A2,allocated-sites;housing,,2020-12-21,GIS - 17LongwickcIlmer,New Housing Allocations,,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-A2
,longwickcumilmerndp-A3,,,2020-12-21,GIS - 17LongwickcIlmer,Retaining Longwick Village’s Distinct Rural Identity,,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-A3
,longwickcumilmerndp-A4,community-facilities;designation,,2020-12-21,GIS - 17LongwickcIlmer,Local Green Space Designations,,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-A4
,longwickcumilmerndp-A5,economy;employment,,2020-12-21,GIS - 17LongwickcIlmer,Small Scale Business Space,,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-A5
,longwickcumilmerndp-A6,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 17LongwickcIlmer,Shoulder of Mutton Public House,,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-A6
,longwickcumilmerndp-L1,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 17LongwickcIlmer,"Site Allocation on the eastern side of Thame Road, leading around to Bar Lane",,development-policy:Longwick-cum-Ilmer Parish Council,2017-01-01,development-policy/development-policy/Longwick-cum-Ilmer Parish Council/longwickcumilmerndp-L1
