description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,avdlp-AY24,area/location-specific-policy,,2020-12-21,E07000004,"Mixed-use redevelopment, Exchange Street",,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY24
,avdlp-AY27,retail,,2020-12-21,E07000004,Provision of new foodstore retailing,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY27
,avdlp-AY28,retail-policy;development-management,,2020-12-21,E07000004,Development within the Primary Shopping Frontages,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY28
,avdlp-AY29,retail-policy;development-management,,2020-12-21,E07000004,Development within the Central Shopping Area outside the Primary Shopping Frontages,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY29
,avdlp-AY30,development-management,,2020-12-21,E07000004,Café and restaurant development,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY30
,avdlp-AY31,area/location-specific-policy;housing;town-centres,,2020-12-21,E07000004,Housing in the town centre,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY31
,avdlp-AY34,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Redevelopment of Exchange Street / Canal Basin,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY34
,avdlp-BU1,area/location-specific-policy;allocated-sites;housing,,2020-12-21,E07000004,Housing development at Moreton Road,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU1
,avdlp-BU3,area/location-specific-policy;allocated-sites;employment,,2020-12-21,E07000004,Employment development at Buckingham,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU3
,avdlp-BU6,area/location-specific-policy;retail-policy,,2020-12-21,E07000004,Primary Shopping Frontages,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU6
,avdlp-BU7,area/location-specific-policy;development-management,,2020-12-21,E07000004,Development elsewhere in the CSA,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU7
,avdlp-BU8,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Sites at West Street / Moreton Road and Bridge Street,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU8
,avdlp-BU10,walking,,2020-12-21,E07000004,Pedestrian priority area proposals,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU10
,avdlp-BU11,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Buckingham Riverside Walk,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-BU11
